,opening time,closing time,drift rate,result,trade duration (min)
1,2021-01-03 04:05:00,2021-01-03 04:20:00,52.20153254455275,loss,15.0
441,2021-07-16 07:35:00,2021-07-16 08:00:00,55.90169943749474,loss,25.0
438,2021-07-15 01:05:00,2021-07-15 01:25:00,53.85164807134504,loss,20.0
432,2021-07-12 07:30:00,2021-07-12 07:50:00,53.85164807134504,loss,20.0
427,2021-07-08 03:25:00,2021-07-08 03:35:00,50.99019513592785,loss,10.0
425,2021-07-07 09:35:00,2021-07-07 10:10:00,61.032778078668514,loss,35.0
423,2021-07-06 19:00:00,2021-07-06 19:45:00,67.26812023536856,loss,45.0
420,2021-07-05 08:35:00,2021-07-05 09:05:00,58.309518948453004,loss,30.0
414,2021-07-03 10:50:00,2021-07-03 11:25:00,61.032778078668514,loss,35.0
413,2021-07-02 12:15:00,2021-07-02 12:35:00,53.85164807134504,loss,20.0
412,2021-07-02 06:40:00,2021-07-02 06:50:00,50.99019513592785,loss,10.0
411,2021-07-01 22:30:00,2021-07-01 23:00:00,58.309518948453004,loss,30.0
408,2021-06-30 12:00:00,2021-06-30 12:15:00,52.20153254455275,loss,15.0
406,2021-06-29 19:15:00,2021-06-29 20:55:00,111.80339887498948,loss,100.0
405,2021-06-29 16:00:00,2021-06-29 16:10:00,50.99019513592785,loss,10.0
403,2021-06-29 04:55:00,2021-06-29 05:15:00,53.85164807134504,loss,20.0
402,2021-06-28 16:00:00,2021-06-28 16:05:00,50.24937810560445,loss,5.0
401,2021-06-28 02:30:00,2021-06-28 02:55:00,55.90169943749474,loss,25.0
397,2021-06-26 11:25:00,2021-06-26 11:45:00,53.85164807134504,loss,20.0
395,2021-06-25 20:05:00,2021-06-25 20:10:00,50.24937810560445,loss,5.0
783,2021-12-31 12:15:00,2021-12-31 16:55:00,284.42925306655786,loss,280.0
391,2021-06-25 00:10:00,2021-06-25 00:20:00,50.99019513592785,loss,10.0
390,2021-06-24 17:25:00,2021-06-24 17:30:00,50.24937810560445,loss,5.0
388,2021-06-24 05:45:00,2021-06-24 05:55:00,50.99019513592785,loss,10.0
385,2021-06-23 09:30:00,2021-06-23 09:40:00,50.99019513592785,loss,10.0
384,2021-06-23 02:45:00,2021-06-23 03:00:00,52.20153254455275,loss,15.0
383,2021-06-23 00:00:00,2021-06-23 00:05:00,50.24937810560445,loss,5.0
382,2021-06-22 00:05:00,2021-06-22 00:10:00,50.24937810560445,loss,5.0
444,2021-07-19 05:25:00,2021-07-19 05:50:00,55.90169943749474,loss,25.0
381,2021-06-21 11:00:00,2021-06-21 11:05:00,50.24937810560445,loss,5.0
448,2021-07-20 17:00:00,2021-07-20 18:15:00,90.13878188659973,loss,75.0
452,2021-07-23 00:05:00,2021-07-23 00:15:00,50.99019513592785,loss,10.0
509,2021-08-14 01:05:00,2021-08-14 02:45:00,111.80339887498948,loss,100.0
